2024-11-29 20:07:45,450 INFO    Thread-66 :17500 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-11-29 20:07:45,451 INFO    Thread-66 :17500 [wandb_setup.py:_flush():79] Configure stats pid to 17500
2024-11-29 20:07:45,451 INFO    Thread-66 :17500 [wandb_setup.py:_flush():79] Loading settings from C:\Users\U\.config\wandb\settings
2024-11-29 20:07:45,451 INFO    Thread-66 :17500 [wandb_setup.py:_flush():79] Loading settings from C:\Users\U\Desktop\Wine Quality Prediction\wandb\settings
2024-11-29 20:07:45,451 INFO    Thread-66 :17500 [wandb_setup.py:_flush():79] Loading settings from environment variables: {'project': 'Wine Quality Prediction', 'entity': 'arnav0708-indraprastha-institute-of-information-technology', 'root_dir': 'C:\\Users\\U\\Desktop\\Wine Quality Prediction', 'run_id': 'vrr94pci', 'sweep_param_path': 'C:\\Users\\U\\Desktop\\Wine Quality Prediction\\wandb\\sweep-3edrgk09\\config-vrr94pci.yaml', 'sweep_id': '3edrgk09'}
2024-11-29 20:07:45,452 INFO    Thread-66 :17500 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-29 20:07:45,452 INFO    Thread-66 :17500 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'src\\train\\train.py', 'program_abspath': 'c:\\Users\\U\\Desktop\\Wine Quality Prediction\\src\\train\\train.py', 'program': 'c:\\Users\\U\\Desktop\\Wine Quality Prediction\\src\\train\\train.py'}
2024-11-29 20:07:45,452 INFO    Thread-66 :17500 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-29 20:07:45,452 INFO    Thread-66 :17500 [wandb_init.py:_log_setup():533] Logging user logs to C:\Users\U\Desktop\Wine Quality Prediction\wandb\run-20241129_200745-vrr94pci\logs\debug.log
2024-11-29 20:07:45,452 INFO    Thread-66 :17500 [wandb_init.py:_log_setup():534] Logging internal logs to C:\Users\U\Desktop\Wine Quality Prediction\wandb\run-20241129_200745-vrr94pci\logs\debug-internal.log
2024-11-29 20:07:45,452 INFO    Thread-66 :17500 [wandb_init.py:init():619] calling init triggers
2024-11-29 20:07:45,452 INFO    Thread-66 :17500 [wandb_init.py:init():626] wandb.init called with sweep_config: {'batch_size': 32, 'dropout': 0.5, 'epochs': 100, 'hidden_size': 32, 'learning_rate': 1e-05}
config: {}
2024-11-29 20:07:45,453 INFO    Thread-66 :17500 [wandb_init.py:init():669] starting backend
2024-11-29 20:07:45,453 INFO    Thread-66 :17500 [wandb_init.py:init():673] sending inform_init request
2024-11-29 20:07:45,458 INFO    Thread-66 :17500 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-11-29 20:07:45,458 INFO    Thread-66 :17500 [wandb_init.py:init():686] backend started and connected
2024-11-29 20:07:45,467 INFO    Thread-66 :17500 [wandb_run.py:_config_callback():1387] config_cb None None {'batch_size': 32, 'dropout': 0.5, 'epochs': 100, 'hidden_size': 32, 'learning_rate': 1e-05}
2024-11-29 20:07:45,467 INFO    Thread-66 :17500 [wandb_init.py:init():781] updated telemetry
2024-11-29 20:07:45,510 INFO    Thread-66 :17500 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-11-29 20:07:45,971 INFO    Thread-66 :17500 [wandb_init.py:init():867] starting run threads in backend
2024-11-29 20:07:46,167 INFO    Thread-66 :17500 [wandb_run.py:_console_start():2456] atexit reg
2024-11-29 20:07:46,167 INFO    Thread-66 :17500 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-11-29 20:07:46,167 INFO    Thread-66 :17500 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-11-29 20:07:46,167 INFO    Thread-66 :17500 [wandb_run.py:_redirect():2395] Redirects installed.
2024-11-29 20:07:46,167 INFO    Thread-66 :17500 [wandb_init.py:init():911] run started, returning control to user process
2024-11-29 20:07:46,178 INFO    Thread-66 :17500 [wandb_watch.py:_watch():71] Watching
2024-11-29 20:07:55,710 INFO    Thread-66 :17500 [wandb_run.py:_finish():2155] finishing run arnav0708-indraprastha-institute-of-information-technology/Wine Quality Prediction/vrr94pci
2024-11-29 20:07:55,710 INFO    Thread-66 :17500 [wandb_run.py:_atexit_cleanup():2420] got exitcode: 0
2024-11-29 20:07:55,710 INFO    Thread-66 :17500 [wandb_run.py:_restore():2402] restore
2024-11-29 20:07:55,710 INFO    Thread-66 :17500 [wandb_run.py:_restore():2408] restore done
2024-11-29 20:07:58,608 INFO    Thread-66 :17500 [wandb_run.py:_footer_history_summary_info():3960] rendering history
2024-11-29 20:07:58,609 INFO    Thread-66 :17500 [wandb_run.py:_footer_history_summary_info():3992] rendering summary
2024-11-29 20:07:58,622 INFO    Thread-66 :17500 [wandb_run.py:_footer_sync_info():3921] logging synced files
